product link,apparel name,apparel image,item-price,type,brand
https://shopdarwaza.in/products/mustard-tie-up-short-kurta,Mustard Tie-Up Short Kurta,https://shopdarwaza.in/cdn/shop/files/113.png?v=1717753550&width=533,4000,upper,darwaza
https://shopdarwaza.in/products/mogra-shirt,Mogra Shirt,https://shopdarwaza.in/cdn/shop/files/48.png?v=1717743261&width=533,4500,upper,darwaza
https://shopdarwaza.in/products/mitti-pants,Mitti Pants,https://shopdarwaza.in/cdn/shop/files/11.png?v=1717743187&width=533,3500,lower,darwaza
https://shopdarwaza.in/products/laal-shirt,Laal Shirt,https://shopdarwaza.in/cdn/shop/files/118.png?v=1717753476&width=533,3500,upper,darwaza
https://shopdarwaza.in/products/krishna-kamal-shirt,Krishna Kamal,https://shopdarwaza.in/cdn/shop/files/6.png?v=1717743089&width=533,4000,upper,darwaza
https://shopdarwaza.in/products/kamal-mirror-shirt,Kamal Mirror Shirt,https://shopdarwaza.in/cdn/shop/files/83.png?v=1717743026&width=533,3800,upper,darwaza
https://shopdarwaza.in/products/gulab-shirt-darwaza-classics,Gulab Shirt - Darwaza Classics,https://shopdarwaza.in/cdn/shop/files/52.png?v=1717742907&width=533,5000,upper,darwaza
https://shopdarwaza.in/products/bloom-shirt,Bloom Shirt,https://shopdarwaza.in/cdn/shop/files/39.png?v=1717742492&width=533,3800,upper,darwaza
https://shopdarwaza.in/products/sadabahar-shirt,Sadabahar Shirt,https://shopdarwaza.in/cdn/shop/files/1_fc6ef6c0-4358-4d61-9b55-b1bda2ff6d87.png?v=1717743533&width=533,6000,upper,darwaza
https://shopdarwaza.in/products/maroon-vest-jacket,Maroon Vest Jacket,https://shopdarwaza.in/cdn/shop/files/152.png?v=1717754334&width=533,3500,upper,darwaza
https://www.six5sixstreet.com/collections/bottoms/products/sand-denim-cargos,Sand Denim Cargos,https://cdn.shopify.com/s/files/1/0261/6518/2569/files/E730BDF1-2C21-418A-BEF5-5970C278A3F5_grande.jpg?v=1726402398,"2,450.00",lower,six5six
https://www.six5sixstreet.com/collections/bottoms/products/hotspot-denim-jorts,Hotspot Denim Jorts,https://cdn.shopify.com/s/files/1/0261/6518/2569/files/IMG_3869_VSCO_d309628f-bc90-4315-9b51-fc7f933208f6_grande.jpg?v=1722599391,"1,750.00",lower,six5six
https://www.six5sixstreet.com/collections/bottoms/products/poolside-co-ord-shorts,Poolside Co-Ord Shorts,https://cdn.shopify.com/s/files/1/0261/6518/2569/files/IMG_3888_VSCO_grande.jpg?v=1722598973,"1,400.00",lower,six5six
